"Название (Аббр.): Чек-лист для приложения ""Мобильный хоспис"". (MH)";;;
Описание:;;;
Статус: Не согласован;;;
Проверка формы авторизации;;;
;;;
№;Приоритет;Проверка;Результат
39;Средний;Добавление комментария к претензии, состоящего только из пробелов;Появляется сообщение о том, что поле не может быть пустым. Комментарий не добавлен.
40;Средний;Добавление комментария к претензии, содержащего символы.;Комментарий добавлен и виден в карточке претензии.
41;Средний;Редактирование созданного ранее комментария к претензии;Отредактированный комментарий отображается в карточке претензии, исполнитель, дата и время остались те же, что и до редактирования текста.
42;Средний;Фильтрация открытых претензий;"В списке претензий отображаются только претензии со статусом ""Открыта"""
43;Средний;Фильтрация претензий, находящихся в работе;"В списке претензий отображаются только претензии со статусом ""В работе"""
44;Средний;Фильтрация выполненных претензий;"В списке претензий отображаются только претензии со статусом ""Выполнена"""
45;Средний;Фильтрация отмененных претензий;"В списке претензий отображаются только претензии со статусом ""Отменена"""
46;Средний;Фильтр по всем претензиям;В списке претензий отображаются все претензии с присвоенным статусом.
47;Средний;"Изменение статуса претензии с ""Открыта"" на ""В работе""";"Статус претензии изменен на ""В работе"""
48;Средний;"Изменение статуса претензии с ""Открыта"" на ""Отменена""";"Статус претензии изменен на ""Отменена"""
49;Средний;"Изменение статуса претензии с ""В работе"" на ""Открыта""";"Статус претензии изменен на ""Открыта"""
50;Средний;"Изменение статуса претензии с ""В работе"" на ""Выполнена""";"Статус претензии изменен на ""Выполнена"""
51;Средний;Удаление претензии;Карточка претензии удалена, в общем спике и на главном экране не отображается.
52;Средний;"Редактирование темы претензии, находящейся в статусе ""Открыта""";В карточке претензии отображается отредактированная тема
53;Средний;"Редактирование исполнителя претензии, находящейся в статусе ""Открыта""";В карточке претензии отображается отредактированный исполнитель
54;Средний;"Редактирование даты претензии, находящейся в статусе ""Открыта""";В карточке претензии отображается отредактированная дата
55;Средний;"Редактирование времени претензии, находящейся в статусе ""Открыта""";В карточке претензии отображается отредактированное время
56;Средний;"Редактирование описания претензии, находящейся в статусе ""Открыта""";В карточке претензии отображается отредактированное описание
57;Средний;"Редактирование претензии, находящейся в статусе ""В работе""";"Кнопка редактирования не активна, при нажатии появляется сообщение ""Редактировать заявку можно только в статусе открыта"""
58;Средний;"Редактирование претензии, находящейся в статусе ""Выполнена""";"Кнопка редактирования не активна, при нажатии появляется сообщение ""Редактировать заявку можно только в статусе открыта"""
59;Средний;"Редактирование претензии, находящейся в статусе ""Отменена""";"Кнопка редактирования не активна, при нажатии появляется сообщение ""Редактировать заявку можно только в статусе открыта"""
60;Средний;"Работоспособность кнопки ""Назад"" в карточки претензии";При нажатии на кнопку, пользователь выходит из карточки претензии к списку всех претензий.
61;Средний;"Работоспособность кнопки ""Назад"" в навигационной панели";При нажатии на кнопку, пользователь выходит из карточки претензии к списку всех претензий!
;;;
Проверка раздела новостей;;;
;;;
№;Приоритет;Проверка;Результат
62;Средний;Создание новости с заполнением полей валидными значениями;Новость создана и отображается в ленте.
63;Средний;Создание новости со всеми пустыми полями;"Новость не создана, появляется сообщение ""Заполните пустые поля"""
64;Средний;"Создание новости с пустым полем ""Категория""";"Новость не создана, появляется сообщение ""Заполните пустые поля"""
65;Средний;"Создание новости с пустым полем ""Заголовок""";"Новость не создана, появляется сообщение ""Заполните пустые поля"""
66;Средний;"Создание новости с пустым полем ""Дата публикации""";"Новость не создана, появляется сообщение ""Заполните пустые поля"""
67;Средний;"Создание новости с пустым полем ""Время""";"Новость не создана, появляется сообщение ""Заполните пустые поля"""
68;Средний;"Создание новости с пустым полем ""Описание""";"Новость не создана, появляется сообщение ""Заполните пустые поля"""
69;Средний;"Ввод только цифр в поле ""Заголовок""";Новость не создана, появляется сообщение о том, что поле должно содержать буквы
70;Средний;"Ввод только символов в поле ""Заголовок""";Новость не создана, появляется сообщение о том, что поле должно содержать буквы
71;Средний;"Ввод только пробелов в поле ""Заголовок""";"Новость не создана, появляется сообщение ""Заполните пустые поля"""
