"Название (Аббр.): Чек-лист для приложения ""Мобильный хоспис"". (MH)";;;;
Описание:;;;;
Статус: Не согласован;;;;
Проверка формы авторизации;;;;
;;;;
№;Приоритет;Проверка;Результат;
41;Средний;"Изменение статуса претензии с ""Открыта"" на ""Отменена""";"Статус претензии изменен на ""Отменена""";
42;Средний;"Изменение статуса претензии с ""В работе"" на ""Открыта""";"Статус претензии изменен на ""Открыта""";
43;Средний;"Изменение статуса претензии с ""В работе"" на ""Выполнена""";"Статус претензии изменен на ""Выполнена""";
44;Средний;"Редактирование темы претензии, находящейся в статусе ""Открыта""";В карточке претензии отображается отредактированная тема;
45;Средний;"Редактирование исполнителя претензии, находящейся в статусе ""Открыта""";В карточке претензии отображается отредактированный исполнитель;
46;Средний;"Редактирование даты претензии, находящейся в статусе ""Открыта""";В карточке претензии отображается отредактированная дата;
47;Средний;"Редактирование времени претензии, находящейся в статусе ""Открыта""";В карточке претензии отображается отредактированное время;
48;Средний;"Редактирование описания претензии, находящейся в статусе ""Открыта""";В карточке претензии отображается отредактированное описание;
49;Средний;"Редактирование претензии, находящейся в статусе ""В работе""";"Кнопка редактирования не активна, при нажатии появляется сообщение ""Редактировать заявку можно только в статусе открыта""";
50;Средний;"Редактирование претензии, находящейся в статусе ""Выполнена""";"Кнопка редактирования не активна, при нажатии появляется сообщение ""Редактировать заявку можно только в статусе открыта""";
51;Средний;"Редактирование претензии, находящейся в статусе ""Отменена""";"Кнопка редактирования не активна, при нажатии появляется сообщение ""Редактировать заявку можно только в статусе открыта""";
52;Средний;"Работоспособность кнопки ""Назад"" в карточки претензии";При нажатии на кнопку, пользователь выходит из карточки претензии к списку всех претензий.;
;;;;
Проверка раздела новостей;;;;
;;;;
№;Приоритет;Проверка;Результат;
53;Средний;Создание новости с заполнением полей валидными значениями;Новость создана и отображается в ленте.;
54;Средний;Создание новости со всеми пустыми полями;"Новость не создана, появляется сообщение ""Заполните пустые поля""";
55;Средний;"Создание новости с пустым полем ""Категория""";"Новость не создана, появляется сообщение ""Заполните пустые поля""";
56;Средний;"Создание новости с пустым полем ""Заголовок""";"Новость не создана, появляется сообщение ""Заполните пустые поля""";
57;Средний;"Создание новости с пустым полем ""Дата публикации""";"Новость не создана, появляется сообщение ""Заполните пустые поля""";
58;Средний;"Создание новости с пустым полем ""Время""";"Новость не создана, появляется сообщение ""Заполните пустые поля""";
59;Средний;"Создание новости с пустым полем ""Описание""";"Новость не создана, появляется сообщение ""Заполните пустые поля""";
60;Средний;"Ввод только пробелов в поле ""Заголовок""";"Новость не создана, появляется сообщение ""Заполните пустые поля""";
61;Средний;"Ввод текста, содержащего символы,в поле ""Заголовок""";Новость создана и отображается в ленте.;
62;Средний;"Ввод текста, содержащего цифры,в поле ""Заголовок""";Новость создана и отображается в ленте.;
63;Средний;"Ввод только пробелов в поле ""Описание""";"Новость не создана, появляется сообщение ""Заполните пустые поля""";
64;Средний;"Ввод текста, содержащего символы,в поле ""Описание""";Новость создана и отображается в ленте.;
65;Средний;"Ввод текста, содержащего цифры,в поле ""Описание""";Новость создана и отображается в ленте.;
66;Средний;Просмотр описания новости;Открывается описание ранее созданной новости;
67;Средний;Сортировка новостей от самой свежей к самой старой;Новости в ленте располагаются от свежайшей к старейшей;
68;Средний;Сортировка новостей от самой старой к самой свежей;Новости в ленте располагаются от старейшей к свежайшей;
69;Средний;Фильтрация новостей только по категории;Новости отображаются согласно выбранной в фильтре категории.;
70;Средний;Фильтрация новостей только по дате;Отображаются новости, входящие в выбранный период.;
71;Средний;Оставить все поля фильтрации пустыми;В списке отображаются все новости.;
72;Средний;Фильтрация новостей по категории и дате;В списке отображаются новости за указанный период в выбранной категории.;
73;Средний;Заполнить только первую дату периода;"Появляется сообщение : ""Неверно указан период""";
74;Средний;Заполнить только вторую дату периода;"Появляется сообщение : ""Неверно указан период""";
75;Средний;Удаление новости;Новость удалена. Ее нет в списке новостей.;
76;Средний;Просмотр описания новости в панели управления;При нажатии раскрывается карточка новости , и появляется ее описание.;
77;Средний;Скрытие описания новости в панели управления;При нажатии на новость с открытым описанием, оно сворачивается и становится не видным.;
78;Средний;Редактирование заголовка новости;В карточке новости отображается отредактированный заголовок;
79;Средний;Редактирование даты новости;В карточке новости отображается отредактированная дата;
80;Средний;Редактирование времени новости;В карточке новости отображается отредактированное время;
81;Средний;Редактирование описания новости;В карточке новости отображается отредактированное описание;
82;Средний;"Изменение статуса новости с ""Активна"" на ""Не активна""";"В карточке новости отображается статус ""Не активна""";
83;Средний;"Изменение статуса новости с ""Не активна"" на ""Активна""";"В карточке новости отображается статус ""Активна""";
84;Средний;Скроллинг ленты новостей;Лента новостей листается соответственно направлению скроллинга.;
;;;;
"Проверка раздела ""Главная""";;;;
;;;;
№;Приоритет;Проверка;Результат;
85;Средний;Отображение блока новостей на главном экране приложения;На главном экране виден блок, состоящий из трех последних новостей.;
86;Средний;Отображение блока претензий на главном экране приложения;На главном экране виден блок, состоящий из шести самых старых претензий.;
87;Средний;Скрытие блока новостей на главном экране;"Блок новостей сворачивается, остается только название ""Новости""";
88;Средний;Раскрытие блока новостей на главном экране;Блок новостей раскрывается, становятся видны три последние новости;
89;Средний;"Нажатие кнопки ""Все новости"" в блоке новостей.";Осуществляется переход на экран со всеми новостями.;
90;Средний;Просмотр описания новости в блоке новостей.;При нажатии на новость, раскрывается ее описание;
91;Средний;Переход в окно создания претензии из блока претензий;"Открывается окно ""Создание заявки""";
92;Средний;Переход в окно создания претензий из свернутого блока претензий;"Открывается окно ""Создание заявки""";
93;Средний;Скрытие блока претензий на главном экране;"Блок претензий сворачивается, остается только название ""Заявки"" и кнопка создания новой претензии";
94;Средний;Раскрытие блока претензий на главном экране;Блок претензий раскрывается, становятся видны шесть старейших претензии;
95;Средний;Просмотр карточки претензии из блока претензий;При нажатии на претензию открывается ее карточка;
96;Средний;"Нажатие кнопки ""Все заявки"" в блоке претензий";Осуществляется переход на экран со всеми претензиями.;
;;;;
"Проверка раздела ""О приложении""";;;;
;;;;
№;Приоритет;Проверка;Результат;
97;Средний;"Нажатие кнопки ""Назад"" в разделе ""О приложении""";Производится переход на предыдущий экран;
;;;;
Проверка раздела тематических цитат;;;;
;;;;
№;Приоритет;Проверка;Результат;
98;Средний;Нажатие кнопки раздела тематических цитат;Открывается экран , на котором размещены тематические цитаты про Хоспис.;
99;Средний;Нажатие на карточку цитаты;Открывается последующее ее описание.;
100;Средний;Скрытие развернутого описания карточки;Карточка сворачивается, подробное описание становится не видным.;
101;Средний;Пролистывание ленты тематических цитат;Лента тематических цитат движется соответственно направлению скроллинга.;
;;;;
Проверка выхода из аккаунта;;;;
;;;;
№;Приоритет;Проверка;Результат;
102;Средний;Выход из профиля;Появляется окно авторизации с пустыми полями логина и пароля.;
103;Средний;Повторная авторизация с существующим логином и паролем;Вход осуществлен, пользователь видит главный экран приложения.;
;;;;
Проваленные проверки в разделе претензий;;;;
;;;;
№;Приоритет;Проверка;Результат;Фактический результат
104;Средний;"Ввод только цифр в поле ""Тема"".";Появляется сообщение о том, что в данном поле должны присутствовать буквы. Внутри поля появляется красный восклицательный знак.;Претензия создается. Название темы состоит из введеных цифр
105;Средний;"Ввод только символов в поле ""Тема""";Появляется сообщение о том, что в данном поле должны присутствовать буквы. Внутри поля появляется красный восклицательный знак.;Претензия создается. Название темы состоит из введеных символов
106;Средний;"Ввод цифр в поле ""Описание"".";Появляется сообщение о том, что в данном поле должны присутствовать буквы. Внутри поля появляется красный восклицательный знак.;Претензия создается. Описание претензии состоит из введеных цифр
107;Средний;"Ввод только символов в поле ""Описание""";Появляется сообщение о том, что в данном поле должны присутствовать буквы. Внутри поля появляется красный восклицательный знак.;Претензия создается. Описание претензии состоит из введеных символов
108;Средний;"Ввод в поле ""Исполнитель"" ФИО нового исполнителя.";Претензия создана с заполненными данными, при нажатии на претензию напротив исполнителя видны ФИО нового иполнителя.;Претензия создана с заполненными данными, при нажатии на претензию напротив исполнителя следующая надпись: НЕ НАЗНАЧЕНО.
109;Средний;"Ввод в поле ""Исполнитель"" только цифр";Появляется сообщение о том, что поле может содержать только буквы. Претензия не создана.;Претензия создана с заполненными данными, при нажатии на претензию напротив исполнителя следующая надпись: НЕ НАЗНАЧЕНО.
110;Средний;"Ввод в поле ""Исполнитель"" только символов";Появляется сообщение о том, что поле может содержать только буквы. Претензия не создана.;Претензия создана с заполненными данными, при нажатии на претензию напротив исполнителя следующая надпись: НЕ НАЗНАЧЕНО.
111;Средний;Удаление претензии;Карточка претензии удалена, в общем спике и на главном экране не отображается.;Нет функции удаления претензии.
Проваленные проверки в разделе новостей;;;;
;;;;
№;Приоритет;Проверка;Результат;Фактический результат
112;Средний;"Ввод только цифр в поле ""Заголовок""";Новость не создана, появляется сообщение о том, что поле должно содержать буквы;Новость создана. Заголовок новости состоит из введенных цифр
113;Средний;"Ввод только символов в поле ""Заголовок""";Новость не создана, появляется сообщение о том, что поле должно содержать буквы;Новость создана. Заголовок новости состоит из введенных символов
114;Средний;"Ввод только символов в поле ""Описание""";Новость не создана, появляется сообщение о том, что поле должно содержать буквы;Новость создана. Описание новости состоит из введенных символов
115;Средний;"Ввод только цифр в поле ""Описание""";Новость не создана, появляется сообщение о том, что поле должно содержать буквы;Новость создана. Описание новости состоит из введенных цифр
116;Средний;Ввод категории, отличной от предложенных. Например : Увольнение;Ввод в данное поле невозможен. Выбор категории только из выпадающего списка.;"Ввод в поле ""Категория"" возможен, при попытке создать новость появляется сообщение: ""Сохранение не удалось попробуйте позднее"""
117;Средний;Редактирование категории новости;Редактирование возможно только методом выбора новой категории из выпадающего спика. Ввод в данное поле невозможен.;"При редактировании уже созданной ранее новости, возможен ввод в поле ""Категория"".  При попытке сохранить новость с отредактированной  категорией появляется сообщение: ""Сохранение не удалось попробуйте позднее"" "
118;Средний;Ввод в фильтр несуществующей категории;Ввод в данное поле не может быть осуществлен. Только выбор категории из выпадающего списка.;"Ввод в поле ""Категория"" в фильтре новостей возможен. Если применить фильтр с введенной несуществующей категорией, отображаются все новости"
;;;;
;;;;
"Проваленные проверки в разделе ""О приложении""";;;;
;;;;
№;Приоритет;Проверка;Результат;Фактический результат
119;Средний;"Переход по ссылке ""Политика конфиденциальности"" в разделе ""О приложении""";Производится переход на соответствующую страницу;https://imgur.com/a/sF8VlQE
120;Средний;"Переход по ссылке ""Пользовательское соглашение"" в разделе ""О приложении""";Производится переход на соответствующую страницу;https://i.imgur.com/bBvPVmE.png
